Day of IncDate,Percentile (90) of Response Time for Ist Unit,Incidents
"January 1, 2019",00:07:31,232.00
"January 2, 2019",00:07:44,194.00
"January 3, 2019",00:08:29,176.00
"January 4, 2019",00:07:13,198.00
"January 5, 2019",00:08:43,200.00
"January 6, 2019",00:07:46,168.00
"January 7, 2019",00:07:45,181.00
"January 8, 2019",00:08:07,212.00
"January 9, 2019",00:08:01,201.00
"January 10, 2019",00:07:57,197.00
"January 11, 2019",00:07:51,201.00
"January 12, 2019",00:08:13,181.00
"January 13, 2019",00:07:34,166.00
"January 14, 2019",00:09:14,170.00
"January 15, 2019",00:08:01,175.00
"January 16, 2019",00:07:30,198.00
"January 17, 2019",00:07:28,189.00
"January 18, 2019",00:08:11,171.00
"January 19, 2019",00:08:20,186.00
"January 20, 2019",00:08:08,172.00
"January 21, 2019",00:08:20,165.00
"January 22, 2019",00:07:29,194.00
"January 23, 2019",00:07:40,192.00
"January 24, 2019",00:08:08,198.00
"January 25, 2019",00:07:58,221.00
"January 26, 2019",00:07:20,172.00
"January 27, 2019",00:07:42,148.00
"January 28, 2019",00:07:34,148.00
"January 29, 2019",00:08:00,179.00
"January 30, 2019",00:07:47,181.00
"January 31, 2019",00:08:24,197.00
"February 1, 2019",00:08:12,174.00
"February 2, 2019",00:07:51,157.00
"February 3, 2019",00:07:09,206.00
"February 4, 2019",00:07:46,210.00
"February 5, 2019",00:09:10,209.00
"February 6, 2019",00:08:30,216.00
"February 7, 2019",00:07:55,206.00
"February 8, 2019",00:08:17,217.00
"February 9, 2019",00:09:15,196.00
"February 10, 2019",00:09:12,173.00
"February 11, 2019",00:07:42,188.00
"February 12, 2019",00:08:16,186.00
"February 13, 2019",00:08:06,188.00
"February 14, 2019",00:08:17,172.00
"February 15, 2019",00:07:31,187.00
"February 16, 2019",00:08:02,208.00
"February 17, 2019",00:08:02,169.00
"February 18, 2019",00:07:57,203.00
"February 19, 2019",00:08:23,210.00
"February 20, 2019",00:08:31,235.00
"February 21, 2019",00:08:21,191.00
"February 22, 2019",00:07:55,199.00
"February 23, 2019",00:07:18,168.00
"February 24, 2019",00:08:02,166.00
"February 25, 2019",00:08:21,191.00
"February 26, 2019",00:08:48,197.00
"February 27, 2019",00:08:42,224.00
"February 28, 2019",00:08:16,193.00
"March 1, 2019",00:08:18,201.00
"March 2, 2019",00:08:41,191.00
"March 3, 2019",00:08:33,187.00
"March 4, 2019",00:08:55,251.00
"March 5, 2019",00:07:07,196.00
"March 6, 2019",00:07:46,220.00
"March 7, 2019",00:07:48,191.00
"March 8, 2019",00:09:17,219.00
"March 9, 2019",00:08:08,194.00
"March 10, 2019",00:06:42,195.00
"March 11, 2019",00:08:14,222.00
"March 12, 2019",00:08:04,200.00
"March 13, 2019",00:07:57,214.00
"March 14, 2019",00:07:33,202.00
"March 15, 2019",00:08:05,224.00
"March 16, 2019",00:07:52,191.00
"March 17, 2019",00:07:51,187.00
"March 18, 2019",00:07:48,207.00
"March 19, 2019",00:08:31,192.00
"March 20, 2019",00:08:09,219.00
"March 21, 2019",00:08:00,196.00
"March 22, 2019",00:07:45,206.00
"March 23, 2019",00:07:43,183.00
"March 24, 2019",00:07:22,212.00
"March 25, 2019",00:07:17,180.00
"March 26, 2019",00:07:50,180.00
"March 27, 2019",00:07:31,203.00
"March 28, 2019",00:08:37,193.00
"March 29, 2019",00:08:30,197.00
"March 30, 2019",00:08:28,209.00
"March 31, 2019",00:08:15,186.00
"April 1, 2019",00:07:40,213.00
"April 2, 2019",00:08:03,198.00
"April 3, 2019",00:08:40,176.00
"April 4, 2019",00:08:28,173.00
"April 5, 2019",00:07:35,179.00
"April 6, 2019",00:09:13,170.00
"April 7, 2019",00:07:45,185.00
"April 8, 2019",00:08:14,188.00
"April 9, 2019",00:08:10,173.00
"April 10, 2019",00:07:54,195.00
"April 11, 2019",00:08:16,177.00
"April 12, 2019",00:07:29,164.00
"April 13, 2019",00:07:45,163.00
"April 14, 2019",00:07:37,168.00
"April 15, 2019",00:08:08,180.00
"April 16, 2019",00:08:04,179.00
"April 17, 2019",00:08:32,185.00
"April 18, 2019",00:08:22,211.00
"April 19, 2019",00:08:04,195.00
"April 20, 2019",00:08:02,178.00
"April 21, 2019",00:08:11,166.00
"April 22, 2019",00:08:37,175.00
"April 23, 2019",00:07:57,216.00
"April 24, 2019",00:08:13,203.00
"April 25, 2019",00:07:15,197.00
"April 26, 2019",00:08:40,189.00
"April 27, 2019",00:08:39,186.00
"April 28, 2019",00:08:57,197.00
"April 29, 2019",00:09:44,178.00
"April 30, 2019",00:08:32,193.00
"May 1, 2019",00:07:35,190.00
"May 2, 2019",00:08:12,190.00
"May 3, 2019",00:07:47,171.00
"May 4, 2019",00:08:44,194.00
"May 5, 2019",00:07:59,203.00
"May 6, 2019",00:08:14,226.00
"May 7, 2019",00:08:09,223.00
"May 8, 2019",00:07:51,218.00
"May 9, 2019",00:08:07,236.00
"May 10, 2019",00:08:28,237.00
"May 11, 2019",00:08:29,237.00
"May 12, 2019",00:08:03,193.00
"May 13, 2019",00:07:18,204.00
"May 14, 2019",00:08:36,185.00
"May 15, 2019",00:07:44,166.00
"May 16, 2019",00:08:04,162.00
