Day of DateofFire,Inspectable,NonInspectable,NonStructure
"January 1, 2019",3,1,3
"January 2, 2019",1,,5
"January 3, 2019",2,,1
"January 4, 2019",1,,3
"January 5, 2019",1,1,
"January 6, 2019",,,6
"January 7, 2019",,1,3
"January 8, 2019",,,2
"January 9, 2019",1,,4
"January 10, 2019",,3,3
"January 11, 2019",1,,5
"January 12, 2019",2,1,3
"January 13, 2019",,1,3
"January 14, 2019",1,1,6
"January 15, 2019",,,6
"January 16, 2019",1,1,3
"January 17, 2019",,1,8
"January 18, 2019",1,,
"January 19, 2019",,,9
"January 20, 2019",,,4
"January 21, 2019",1,1,1
"January 22, 2019",1,1,3
"January 23, 2019",,1,7
"January 24, 2019",,,6
"January 25, 2019",,,5
"January 26, 2019",1,1,5
"January 27, 2019",2,,3
"January 28, 2019",,,3
"January 29, 2019",,,4
"January 30, 2019",,1,4
"January 31, 2019",1,,5
"February 1, 2019",,,4
"February 2, 2019",,1,3
"February 3, 2019",1,,2
"February 4, 2019",,2,3
"February 5, 2019",,,1
"February 6, 2019",1,1,3
"February 7, 2019",,,3
"February 8, 2019",,,3
"February 9, 2019",1,,2
"February 10, 2019",,,4
"February 11, 2019",1,,3
"February 12, 2019",,2,1
"February 13, 2019",2,1,2
"February 14, 2019",,,2
"February 15, 2019",1,,2
"February 16, 2019",,,2
"February 17, 2019",,4,6
"February 18, 2019",2,2,3
"February 19, 2019",,1,2
"February 20, 2019",4,1,2
"February 21, 2019",1,,3
"February 22, 2019",1,2,2
"February 23, 2019",2,,1
"February 24, 2019",1,,1
"February 25, 2019",,1,3
"February 26, 2019",,3,2
"February 27, 2019",2,1,3
"March 1, 2019",,,5
"March 2, 2019",3,,9
"March 3, 2019",,2,5
"March 4, 2019",,1,8
"March 5, 2019",,1,2
"March 6, 2019",1,,5
"March 7, 2019",2,1,1
"March 8, 2019",1,1,2
"March 9, 2019",,,12
"March 10, 2019",3,2,16
"March 11, 2019",,,12
"March 12, 2019",1,,4
"March 13, 2019",,3,3
"March 14, 2019",,2,2
"March 15, 2019",1,1,8
"March 16, 2019",,2,3
"March 17, 2019",,1,5
"March 18, 2019",,3,14
"March 19, 2019",2,2,11
"March 20, 2019",1,1,9
"March 21, 2019",,1,7
"March 22, 2019",1,,6
"March 23, 2019",1,1,10
"March 24, 2019",,,5
"March 25, 2019",2,,4
"March 26, 2019",2,3,1
"March 27, 2019",,,2
"March 28, 2019",2,1,2
"March 29, 2019",1,,4
"March 30, 2019",1,,6
"March 31, 2019",,,5
"April 1, 2019",,1,3
"April 2, 2019",,1,6
"April 3, 2019",3,1,4
"April 4, 2019",,,5
"April 5, 2019",,,4
"April 6, 2019",1,,2
"April 7, 2019",1,,5
"April 8, 2019",1,,3
"April 9, 2019",,,4
"April 10, 2019",,1,2
"April 11, 2019",1,,1
"April 12, 2019",2,2,2
"April 13, 2019",1,1,1
"April 14, 2019",1,,3
"April 15, 2019",2,,5
"April 16, 2019",1,1,
"April 17, 2019",,,4
"April 18, 2019",,,5
"April 19, 2019",,,2
"April 20, 2019",1,1,4
"April 21, 2019",,1,5
"April 22, 2019",,1,4
"April 23, 2019",1,,5
"April 24, 2019",,1,3
"April 25, 2019",,2,8
"April 26, 2019",3,,11
"April 27, 2019",1,1,7
"April 28, 2019",,,9
"April 29, 2019",,,9
"April 30, 2019",,,11
"May 1, 2019",1,1,12
"May 2, 2019",1,,6
"May 3, 2019",,,13
"May 4, 2019",2,1,9
"May 5, 2019",1,1,12
"May 6, 2019",2,,13
"May 7, 2019",1,,12
"May 8, 2019",,,9
"May 9, 2019",1,1,21
"May 10, 2019",,1,17
"May 11, 2019",1,,16
"May 12, 2019",1,1,11
"May 13, 2019",,3,14
"May 14, 2019",1,3,7
"May 15, 2019",,1,1
"May 16, 2019",,,3
"May 17, 2019",1,,6
"May 18, 2019",,,7
"May 19, 2019",1,1,4
"May 20, 2019",,2,4
"May 21, 2019",2,,3
