Day of DateofFire,TotalFireLoss,TotalPropertyValue
"January 1, 2019","41,000","11,683,770"
"January 2, 2019","3,600","1,035,600"
"January 3, 2019","207,005","7,327,000"
"January 4, 2019","7,130","6,010,030"
"January 5, 2019","150,600","2,560,000"
"January 6, 2019","4,875","28,400"
"January 7, 2019","36,000","65,000"
"January 8, 2019","5,500","5,500"
"January 9, 2019","123,650","753,700"
"January 10, 2019","54,000","1,296,080"
"January 11, 2019","2,612","17,612"
"January 12, 2019","968,880","34,744,640"
"January 13, 2019","312,150","363,400"
"January 14, 2019","63,610","583,910"
"January 15, 2019","3,770","3,810"
"January 16, 2019","5,515","23,426,065"
"January 17, 2019","1,550","327,150"
"January 18, 2019",500,"61,000,000"
"January 19, 2019","5,600","6,200"
"January 20, 2019","3,000","200,000"
"January 21, 2019","8,000","2,582,000"
"January 22, 2019","28,300","11,183,940"
"January 23, 2019","1,560","13,560"
"January 24, 2019",300,"2,000"
"January 25, 2019","9,300","250,400"
"January 26, 2019","17,550","2,119,300"
"January 27, 2019","24,600","56,411,660"
"January 28, 2019",0,200
"January 29, 2019","2,750","15,050"
"January 30, 2019","20,100","430,500"
"January 31, 2019","228,300","6,758,200"
"February 1, 2019","70,000","70,000"
"February 2, 2019","5,499","1,009,100"
"February 3, 2019","1,125","3,500,450"
"February 4, 2019","91,120","661,170"
"February 5, 2019",250,250
"February 6, 2019","81,500","3,498,500"
"February 7, 2019","2,150","4,150"
"February 8, 2019",200,300
"February 9, 2019","72,600","2,778,600"
"February 10, 2019","2,001","944,601"
"February 11, 2019","7,000","606,000"
"February 12, 2019","11,000","824,000"
"February 13, 2019","3,621","2,064,020"
"February 14, 2019","45,000","45,000"
"February 15, 2019","46,050","870,500"
"February 16, 2019",,
"February 17, 2019","428,000","2,672,500"
"February 18, 2019","60,850","2,825,310"
"February 19, 2019","275,001","375,001"
"February 20, 2019","19,000","42,045,105"
"February 21, 2019","23,090","1,111,040"
"February 22, 2019","108,200","1,132,000"
"February 23, 2019","45,700","4,000,000"
"February 24, 2019","3,600","25,000,100"
"February 25, 2019","4,326","5,400"
"February 26, 2019","21,502","6,075,340"
"February 27, 2019","36,701","53,410,201"
"March 1, 2019","1,000","1,700"
"March 2, 2019","19,050","8,845,761"
"March 3, 2019","141,150","1,322,050"
"March 4, 2019","186,150","826,370"
"March 5, 2019","65,000","329,580"
"March 6, 2019","27,150","31,000"
"March 7, 2019","51,010","55,513,350"
"March 8, 2019","3,520","24,441,350"
"March 9, 2019","4,500","16,350"
"March 10, 2019","82,140","532,270,760"
"March 11, 2019","12,060","3,062,910"
"March 12, 2019","54,600","1,326,570"
"March 13, 2019","80,000","1,740,550"
"March 14, 2019","240,100","927,920"
"March 15, 2019","152,500","7,120,540"
"March 16, 2019","122,000","1,371,000"
"March 17, 2019","13,510","662,510"
"March 18, 2019","10,520","1,318,370"
"March 19, 2019","81,605","36,254,505"
"March 20, 2019","12,420","10,557,900"
"March 21, 2019","20,000","3,503,000"
"March 22, 2019","1,360","13,301,200"
"March 23, 2019","427,027","1,415,350"
"March 24, 2019",225,525
"March 25, 2019",401,"20,864,876"
"March 26, 2019","435,050","13,279,140"
"March 27, 2019","14,000","16,000"
"March 28, 2019","49,000","35,245,500"
"March 29, 2019","6,321","279,660"
"March 30, 2019","7,050","350,007,100"
"March 31, 2019","6,251","6,551"
"April 1, 2019","55,240","705,850"
"April 2, 2019","7,600","677,800"
"April 3, 2019","132,020","61,365,540"
"April 4, 2019","4,250","4,250"
"April 5, 2019","12,500","6,656,780"
"April 6, 2019","1,500","7,280,410"
"April 7, 2019","188,251","2,270,850"
"April 8, 2019","15,500","5,016,600"
"April 9, 2019",10,10
"April 10, 2019","2,050","175,550"
"April 11, 2019","7,200","5,004,500"
"April 12, 2019","18,400","14,379,400"
"April 13, 2019","1,000","1,125,000"
"April 14, 2019","106,001","726,501"
"April 15, 2019","11,506","21,037,651"
"April 16, 2019","17,000","16,612,900"
"April 17, 2019","2,000","78,000"
"April 18, 2019","11,050","12,501"
"April 19, 2019",,
"April 20, 2019","169,400","137,310,430"
"April 21, 2019","168,231","194,730"
"April 22, 2019","6,225","211,200"
"April 23, 2019","3,203","7,005,003"
"April 24, 2019","34,000","766,000"
"April 25, 2019","5,901","508,201"
"April 26, 2019","129,301","36,755,151"
"April 27, 2019","229,151","9,110,651"
"April 28, 2019","65,500","2,140,910"
"April 29, 2019","4,502","5,002"
"April 30, 2019","3,831","28,731"
"May 1, 2019","82,800","51,939,403"
"May 2, 2019",500,"4,369,870"
"May 3, 2019","9,600","7,150,620"
"May 4, 2019","584,305","19,697,120"
"May 5, 2019","223,941","7,042,951"
"May 6, 2019","4,250","14,212,650"
"May 7, 2019",211,"9,352,880"
"May 8, 2019",465,"2,865"
"May 9, 2019","29,318","2,584,402"
"May 10, 2019","5,700","708,700"
"May 11, 2019","163,626","52,012,126"
"May 12, 2019","21,055","448,645"
"May 13, 2019","219,051","1,120,260"
"May 14, 2019","167,702","3,816,261"
"May 15, 2019","213,500","674,500"
"May 16, 2019","15,000","15,000"
"May 17, 2019","4,950","2,548,860"
"May 18, 2019","4,500","11,501"
"May 19, 2019","5,000","3,177,000"
"May 20, 2019","22,400","811,750"
"May 21, 2019","18,500","17,990,200"
